Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1990,GSW,116.3,87.9,9.1,0.324,24.1,17.3,0.10352673492605233,120.556,0.9646969043432098,1990s
1990,PHX,114.9,87.1,6.6,0.324,25.7,15.5,0.07577497129735936,117.16399999999999,0.9806766583592231,1990s
1990,DEN,114.6,97.7,8.3,0.337,27.7,13.9,0.0849539406345957,123.39200000000001,0.928747406639004,1990s
1990,POR,114.2,92.0,6.9,0.336,25.4,16.5,0.075,123.152,0.9273093413018059,1990s
1990,ORL,110.9,91.8,4.8,0.295,24.3,17.2,0.05228758169934641,123.608,0.8971911203158371,1990s
1990,LAL,110.7,85.5,10.3,0.367,27.2,15.0,0.12046783625730995,113.48,0.975502291152626,1990s
1990,PHI,110.2,85.7,6.6,0.348,23.6,14.7,0.07701283547257876,113.864,0.9678212604510644,1990s
1990,BOS,110.0,87.2,4.9,0.262,29.5,15.3,0.05619266055045872,114.072,0.9643032470720246,1990s
1990,CHI,109.5,86.5,8.2,0.374,26.5,15.2,0.09479768786127167,113.184,0.96745122985581,1990s
1990,IND,109.3,83.0,9.4,0.382,24.7,16.4,0.11325301204819277,111.94,0.9764159371091656,1990s
1990,ATL,108.5,85.6,5.0,0.302,22.2,15.5,0.058411214953271035,114.74,0.9456161757015863,1990s
1990,NYK,108.3,86.5,8.7,0.332,26.1,17.2,0.10057803468208092,116.284,0.9313405111623266,1990s
1990,WAS,107.7,92.5,2.4,0.188,27.0,14.6,0.025945945945945945,118.32,0.9102434077079108,1990s
1990,OKC,106.9,88.3,7.9,0.355,22.9,16.3,0.08946772366930918,116.216,0.9198389206305501,1990s
1990,UTA,106.8,80.4,7.7,0.359,27.0,17.2,0.09577114427860696,110.932,0.9627519561533191,1990s
1990,HOU,106.7,88.4,6.0,0.312,26.8,18.5,0.06787330316742081,119.04400000000001,0.8963072477403312,1990s
1990,SAS,106.3,85.3,2.8,0.239,24.8,17.1,0.0328253223915592,115.99600000000001,0.9164109107210593,1990s
1990,MIL,106.0,87.1,8.2,0.312,25.0,16.0,0.09414466130884042,115.288,0.9194365415307751,1990s
1990,DET,104.3,85.1,6.6,0.327,24.3,15.0,0.07755581668625147,112.19999999999999,0.929590017825312,1990s
1990,LAC,103.8,83.6,2.8,0.243,24.1,18.9,0.03349282296650718,115.69999999999999,0.8971477960242006,1990s
1990,CLE,102.6,85.1,10.4,0.407,25.7,15.2,0.12220916568742657,112.092,0.915319558933733,1990s
